word	menukad	lex	unvocalized_lex	POS	Prefix	Gender	Number	Person	Status	Tense	Binyan	Suffix	Suf_Gender	Suf_Number	Suf_Person	fAramaic	no_pipe_menukad	no_prefix_menukad
רואה	רוֹאָה	ראי	ראי	VERB		FEMININE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	רוֹאָה	רוֹאָה
אותו	אוֹתוֹ	אֶת	את	AT_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_3	False	אוֹתוֹ	אוֹתוֹ
בוכה	בּוֹכֶה	בכי	בכי	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	בּוֹכֶה	בּוֹכֶה

ו|אומרת	וְ|אוֹמֶרֶת	אמר	אמר	VERB	CONJUNCTION	FEMININE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	וְאוֹמֶרֶת	אוֹמֶרֶת
""""	""""			PUNCTUATION												False	""""	""""
גם	גַּם	גַּם	גם	CONJUNCTION												False	גַּם	גַּם
אני	אֲנִי	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	SINGULAR	PERSON_1								False	אֲנִי	אֲנִי
פוחדת	פּוֹחֶדֶת	פחד	פחד	VERB		FEMININE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	פּוֹחֶדֶת	פּוֹחֶדֶת
""""	""""			PUNCTUATION												False	""""	""""

הוא	הוּא	הוּא	הוא	PRONOUN		MASCULINE	SINGULAR	PERSON_3								False	הוּא	הוּא
עונה	עוֹנֶה	עני	עני	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	עוֹנֶה	עוֹנֶה
לה	לָהּ	לְ	ל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_FEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_3	False	לָהּ	לָהּ
""""	""""			PUNCTUATION												False	""""	""""
זה	זֶה	זֶה	זה	PRONOUN		MASCULINE	SINGULAR	PERSON_3								False	זֶה	זֶה
קשה	קָשֶׁה	קָשֶׁה	קשה	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	קָשֶׁה	קָשֶׁה
לעזוב	לַעֲזֹב	עזב	עזב	VERB						TOINFINITIVE	BINYAN_PAAL					False	לַעֲזֹב	לַעֲזֹב
דבר	דָּבָר	דָּבָר	דבר	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	דָּבָר	דָּבָר
יפה	יָפֶה	יָפֶה	יפה	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	יָפֶה	יָפֶה

כמו	כְּמוֹ	כְּמוֹ	כמו	PREPOSITION												False	כְּמוֹ	כְּמוֹ
ש|את	שֶׁ|אַתְּ	אֲנִי	אני	PRONOUN	RELATIVIZIER_SUBORDINATINGCONJUNCTION	FEMININE	SINGULAR	PERSON_2								False	שֶׁאַתְּ	אַתְּ
""""	""""			PUNCTUATION												False	""""	""""
.	.			PUNCTUATION												False	.	.

אבל	אֲבָל	אֲבָל	אבל	CONJUNCTION												False	אֲבָל	אֲבָל
בתוכו	בְּתוֹכוֹ	בְּתוֹךְ	בתוך	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_3	False	בְּתוֹכוֹ	בְּתוֹכוֹ
...	...			PUNCTUATION												False	...	...

וב|רדיו	וּבָ|רַדְיוֹ	רַדְיוֹ	רדיו	NOUN	CONJUNCTION+DEFINITEARTICLE+PREPOSITION	MASCULINE	SINGULAR		ABSOLUTE							False	וּבָרַדְיוֹ	רַדְיוֹ
יש	יֵשׁ	יֵשׁ	יש	EXISTENTIAL												False	יֵשׁ	יֵשׁ
שיחה	שִׂיחָה	שִׂיחָה	שיחה	NOUN		FEMININE	SINGULAR		ABSOLUTE							False	שִׂיחָה	שִׂיחָה

דמות	דְּמוּת	דְּמוּת	דמות	NOUN		FEMININE	SINGULAR		ABSOLUTE							False	דְּמוּת	דְּמוּת
בכירה	בְּכִירָה	בָּכִיר	בכיר	ADJECTIVE		FEMININE	SINGULAR		ABSOLUTE							False	בְּכִירָה	בְּכִירָה
ב|ממשלה	בַּ|מֶּמְשָׁלָה	מֶמְשָׁלָה	ממשלה	NOUN	DEFINITEARTICLE+PREPOSITION	FEMININE	SINGULAR		ABSOLUTE							False	בַּמֶּמְשָׁלָה	מֶמְשָׁלָה

מרגישה	מַרְגִּישָׁה	רגשׁ	רגשׁ	VERB		FEMININE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_HIFIL					False	מַרְגִּישָׁה	מַרְגִּישָׁה
שה|שלום	שֶׁהַ|שָּׁלוֹם	שָׁלוֹם	שלום	NOUN	DEFINITEARTICLE+RELATIVIZIER_SUBORDINATINGCONJUNCTION	MASCULINE	SINGULAR		ABSOLUTE							False	שֶׁהַשָּׁלוֹם	שָׁלוֹם
מגיע	מַגִּיעַ	נגע	נגע	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_HIFIL					False	מַגִּיעַ	מַגִּיעַ

הוא	הוּא	הוּא	הוא	PRONOUN		MASCULINE	SINGULAR	PERSON_3								False	הוּא	הוּא
יושב	יוֹשֵׁב	ישׁב	ישׁב	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	יוֹשֵׁב	יוֹשֵׁב
ב|תחנה	בַּ|תַּחֲנָה	תַּחֲנָה	תחנה	NOUN	DEFINITEARTICLE+PREPOSITION	FEMININE	SINGULAR		ABSOLUTE							False	בַּתַּחֲנָה	תַּחֲנָה

הוא	הוּא	הוּא	הוא	PRONOUN		MASCULINE	SINGULAR	PERSON_3								False	הוּא	הוּא
נרדם	נִרְדַּם	רדם	רדם	VERB		MASCULINE	SINGULAR	PERSON_3		PAST	BINYAN_NIFAL					False	נִרְדַּם	נִרְדַּם
ב|ישיבה	בַּ|יְּשִׁיבָה	יְשִׁיבָה	ישיבה	NOUN	DEFINITEARTICLE+PREPOSITION	FEMININE	SINGULAR		ABSOLUTE							False	בַּיְּשִׁיבָה	יְשִׁיבָה

ו|חולם	וְ|חוֹלֵם	חלם	חלם	VERB	CONJUNCTION	MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	וְחוֹלֵם	חוֹלֵם

עליה	עָלֶיהָ	עַל	על	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_FEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_3	False	עָלֶיהָ	עָלֶיהָ
.	.			PUNCTUATION												False	.	.



#	#			PUNCTUATION												False	#	#
#	#			PUNCTUATION												False	#	#
#	#			PUNCTUATION												False	#	#
תראה	תִּרְאֶה	ראי	ראי	VERB		FEMININE	SINGULAR	PERSON_3		FUTURE	BINYAN_PAAL					False	תִּרְאֶה	תִּרְאֶה
עולם	עוֹלָם	עוֹלָם	עולם	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	עוֹלָם	עוֹלָם
/	/			PUNCTUATION												False	/	/
אתניקס	אֶתְנִיקְס	אֶתְנִיקְס	אתניקס	PROPERNAME		MASCULINE	SINGULAR									False	אֶתְנִיקְס	אֶתְנִיקְס

אולי	אוּלַי	אוּלַי	אולי	ADVERB												False	אוּלַי	אוּלַי
תראה	תִּרְאֶה	ראי	ראי	VERB		FEMININE	SINGULAR	PERSON_3		FUTURE	BINYAN_PAAL					False	תִּרְאֶה	תִּרְאֶה
עולם	עוֹלָם	עוֹלָם	עולם	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	עוֹלָם	עוֹלָם
ש|בו	שֶׁ|בּוֹ	בְּ	ב	PREPOSITION	RELATIVIZIER_SUBORDINATINGCONJUNCTION							ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_3	False	שֶׁבּוֹ	בּוֹ
ה|כל	הַ|כֹּל	כֹּל	כול	NOUN	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַכֹּל	כֹּל
טוב	טוֹב	טוֹב	טוב	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	טוֹב	טוֹב

אולי	אוּלַי	אוּלַי	אולי	ADVERB												False	אוּלַי	אוּלַי
תראה	תִּרְאֶה	ראי	ראי	VERB		FEMININE	SINGULAR	PERSON_3		FUTURE	BINYAN_PAAL					False	תִּרְאֶה	תִּרְאֶה
עולם	עוֹלָם	עוֹלָם	עולם	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	עוֹלָם	עוֹלָם
קרוב	קָרוֹב	קָרוֹב	קרוב	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	קָרוֹב	קָרוֹב
אל	אֶל	אֶל	אל	PREPOSITION												False	אֶל	אֶל
ה|סוף	הַ|סּוֹף	סוֹף	סוף	NOUN	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַסּוֹף	סוֹף

אולי	אוּלַי	אוּלַי	אולי	ADVERB												False	אוּלַי	אוּלַי
תראה	תִּרְאֶה	ראי	ראי	VERB		FEMININE	SINGULAR	PERSON_3		FUTURE	BINYAN_PAAL					False	תִּרְאֶה	תִּרְאֶה
עולם	עוֹלָם	עוֹלָם	עולם	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	עוֹלָם	עוֹלָם
נשלט	נִשְׁלָט	נִשְׁלָט	נשלט	PARTICIPLE		MASCULINE	SINGULAR	PERSON_ANY	ABSOLUTE		BINYAN_NIFAL					False	נִשְׁלָט	נִשְׁלָט
ב|אלות	בְּ|אַלּוֹת	אַלָּה	אלה	NOUN	PREPOSITION	FEMININE	PLURAL		ABSOLUTE							False	בְּאַלּוֹת	אַלּוֹת

אולי	אוּלַי	אוּלַי	אולי	ADVERB												False	אוּלַי	אוּלַי
תראה	תִּרְאֶה	ראי	ראי	VERB		FEMININE	SINGULAR	PERSON_3		FUTURE	BINYAN_PAAL					False	תִּרְאֶה	תִּרְאֶה
עולם	עוֹלָם	עוֹלָם	עולם	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	עוֹלָם	עוֹלָם
נקי	נָקִי	נָקִי	נקי	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	נָקִי	נָקִי
מ|פצצות	מִ|פְּצָצוֹת	פְּצָצָה	פצצה	NOUN	PREPOSITION	FEMININE	PLURAL		ABSOLUTE							False	מִפְּצָצוֹת	פְּצָצוֹת

זה	זֶה	זֶה	זה	PRONOUN		MASCULINE	SINGULAR	PERSON_3								False	זֶה	זֶה
ישנה	יְשַׁנֶּה	שׁני	שׁני	VERB		MASCULINE	SINGULAR	PERSON_3		FUTURE	BINYAN_PIEL					False	יְשַׁנֶּה	יְשַׁנֶּה
אותך	אוֹתְךָ	אֶת	את	AT_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	אוֹתְךָ	אוֹתְךָ
בפנים	בִּפְנִים	פְּנִים	פנים	ADVERB												False	בִּפְנִים	בִּפְנִים

זה	זֶה	זֶה	זה	PRONOUN		MASCULINE	SINGULAR	PERSON_3								False	זֶה	זֶה
כמו	כְּמוֹ	כְּמוֹ	כמו	PREPOSITION												False	כְּמוֹ	כְּמוֹ
מכה	מַכָּה	נכי	נכי	VERB		FEMININE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_HIFIL					False	מַכָּה	מַכָּה
על	עַל	עַל	על	PREPOSITION												False	עַל	עַל
ה|פנים	הַ|פָּנִים	פָּנִים	פנים	NOUN	DEFINITEARTICLE	MASCULINEFEMININE	PLURAL		ABSOLUTE							False	הַפָּנִים	פָּנִים

זה	זֶה	זֶה	זה	PRONOUN		MASCULINE	SINGULAR	PERSON_3								False	זֶה	זֶה
יחזק	יְחַזֵּק	חזק	חזק	VERB		MASCULINE	SINGULAR	PERSON_3		FUTURE	BINYAN_PIEL					False	יְחַזֵּק	יְחַזֵּק
אותך	אוֹתָךְ	אֶת	את	AT_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_FEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	אוֹתָךְ	אוֹתָךְ
ל|נצח	לְ|נֶצַח	נֵצַח	נצח	NOUN	PREPOSITION	MASCULINE	SINGULAR		CONSTRUCT							False	לְנֶצַח	נֶצַח
נצחים	נְצָחִים	נֵצַח	נצח	NOUN		MASCULINE	PLURAL		ABSOLUTE							False	נְצָחִים	נְצָחִים

אולי	אוּלַי	אוּלַי	אולי	ADVERB												False	אוּלַי	אוּלַי
תראה	תִּרְאֶה	ראי	ראי	VERB		FEMININE	SINGULAR	PERSON_3		FUTURE	BINYAN_PAAL					False	תִּרְאֶה	תִּרְאֶה
איך	אֵיךְ	אֵיךְ	איך	INTERROGATIVE												False	אֵיךְ	אֵיךְ
ב|עתיד	בֶּ|עָתִיד	עָתִיד	עתיד	NOUN	DEFINITEARTICLE+PREPOSITION	MASCULINE	SINGULAR		ABSOLUTE							False	בֶּעָתִיד	עָתִיד

כל	כׇּל	כֹּל	כול	QUANTIFIER					CONSTRUCT							False	כׇּל	כׇּל
ה|גבולות	הַ|גְּבוּלוֹת	גְּבוּל	גבול	NOUN	DEFINITEARTICLE	MASCULINE	PLURAL		ABSOLUTE							False	הַגְּבוּלוֹת	גְּבוּלוֹת
נעלמים	נֶעֱלָמִים	עלם	עלם	VERB		MASCULINE	PLURAL	PERSON_ANY		PRESENT	BINYAN_NIFAL					False	נֶעֱלָמִים	נֶעֱלָמִים

ה|זמן	הַ|זְּמַן	זְמַן	זמן	NOUN	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַזְּמַן	זְמַן
צוחק	צוֹחֵק	צחק	צחק	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	צוֹחֵק	צוֹחֵק
על	עַל	עַל	על	PREPOSITION												False	עַל	עַל
תוכניות	תׇּכְנִיּוֹת	תׇּכְנִיָּה	תוכנייה	NOUN		FEMININE	PLURAL		ABSOLUTE							False	תׇּכְנִיּוֹת	תׇּכְנִיּוֹת
של	שֶׁל	שֶׁל	של	SHEL_PREP												False	שֶׁל	שֶׁל
אחרים	אֲחֵרִים	אַחֵר	אחר	ADJECTIVE		MASCULINE	PLURAL		ABSOLUTE							False	אֲחֵרִים	אֲחֵרִים

אולי	אוּלַי	אוּלַי	אולי	ADVERB												False	אוּלַי	אוּלַי
תמצא	תִּמְצָא	מצא	מצא	VERB		MASCULINE	SINGULAR	PERSON_2		FUTURE	BINYAN_PAAL					False	תִּמְצָא	תִּמְצָא
כיוון	כִּוּוּן	כִּוּוּן	כיוון	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	כִּוּוּן	כִּוּוּן
חדש	חָדָשׁ	חָדָשׁ	חדש	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	חָדָשׁ	חָדָשׁ
ו|לא	וְ|לֹא	לֹא	לא	NEGATION	CONJUNCTION											False	וְלֹא	לֹא
מוכר	מֻכָּר	מֻכָּר	מוכר	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	מֻכָּר	מֻכָּר

אולי	אוּלַי	אוּלַי	אולי	ADVERB												False	אוּלַי	אוּלַי
תמצא	תִּמְצָא	מצא	מצא	VERB		MASCULINE	SINGULAR	PERSON_2		FUTURE	BINYAN_PAAL					False	תִּמְצָא	תִּמְצָא
אחת	אַחַת	אֶחָד	אחד	NUMERAL		FEMININE	SINGULAR		ABSOLUTECONSTRUCT							False	אַחַת	אַחַת
לאהוב	לֶאֱהֹב	אהב	אהב	VERB						TOINFINITIVE	BINYAN_PAAL					False	לֶאֱהֹב	לֶאֱהֹב
ב|לילה	בְּ|לַיְלָה	לַיְלָה	לילה	NOUN	PREPOSITION	MASCULINE	SINGULAR		ABSOLUTE							False	בְּלַיְלָה	לַיְלָה
קר	קַר	קַר	קר	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	קַר	קַר

תהיה	תִּהְיֶה	היי	היי	COPULA		MASCULINE	SINGULAR	PERSON_2		FUTURE						False	תִּהְיֶה	תִּהְיֶה
מאושר	מְאֻשָּׁר	מְאֻשָּׁר	מאושר	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	מְאֻשָּׁר	מְאֻשָּׁר

תהיה	תִּהְיֶה	היי	היי	COPULA		MASCULINE	SINGULAR	PERSON_2		FUTURE						False	תִּהְיֶה	תִּהְיֶה
משוחרר	מְשֻׁחְרָר	מְשֻׁחְרָר	משוחרר	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	מְשֻׁחְרָר	מְשֻׁחְרָר

ב|דרך	בַּ|דֶּרֶךְ	דֶּרֶךְ	דרך	NOUN	DEFINITEARTICLE+PREPOSITION	FEMININE	SINGULAR		ABSOLUTE							False	בַּדֶּרֶךְ	דֶּרֶךְ
שלך	שֶׁלְּךָ	שֶׁל	של	SHEL_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	שֶׁלְּךָ	שֶׁלְּךָ
,	,			PUNCTUATION												False	,	,
אנחנו	אֲנַחְנוּ	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	PLURAL	PERSON_1								False	אֲנַחְנוּ	אֲנַחְנוּ
איתך	אִתְּךָ	אֶת	את	AT_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	אִתְּךָ	אִתְּךָ

תהיה	תִּהְיֶה	היי	היי	COPULA		MASCULINE	SINGULAR	PERSON_2		FUTURE						False	תִּהְיֶה	תִּהְיֶה
משוחרר	מְשֻׁחְרָר	מְשֻׁחְרָר	משוחרר	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	מְשֻׁחְרָר	מְשֻׁחְרָר

חופשי	חׇפְשִׁי	חׇפְשִׁי	חופשי	ADVERB												False	חׇפְשִׁי	חׇפְשִׁי
כמו	כְּמוֹ	כְּמוֹ	כמו	PREPOSITION												False	כְּמוֹ	כְּמוֹ
פרפר	פַּרְפַּר	פַּרְפַּר	פרפר	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	פַּרְפַּר	פַּרְפַּר

ב|דרך	בַּ|דֶּרֶךְ	דֶּרֶךְ	דרך	NOUN	DEFINITEARTICLE+PREPOSITION	FEMININE	SINGULAR		ABSOLUTE							False	בַּדֶּרֶךְ	דֶּרֶךְ
שלך	שֶׁלְּךָ	שֶׁל	של	SHEL_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	שֶׁלְּךָ	שֶׁלְּךָ
,	,			PUNCTUATION												False	,	,
אנחנו	אֲנַחְנוּ	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	PLURAL	PERSON_1								False	אֲנַחְנוּ	אֲנַחְנוּ
איתך	אִתְּךָ	אֶת	את	AT_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	אִתְּךָ	אִתְּךָ

אולי	אוּלַי	אוּלַי	אולי	ADVERB												False	אוּלַי	אוּלַי
תראה	תִּרְאֶה	ראי	ראי	VERB		FEMININE	SINGULAR	PERSON_3		FUTURE	BINYAN_PAAL					False	תִּרְאֶה	תִּרְאֶה
עולם	עוֹלָם	עוֹלָם	עולם	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	עוֹלָם	עוֹלָם
מלא	מָלֵא	מָלֵא	מלא	QUANTIFIER		MASCULINE	SINGULAR		ABSOLUTECONSTRUCT							False	מָלֵא	מָלֵא
אהבה	אַהֲבָה	אַהֲבָה	אהבה	NOUN		FEMININE	SINGULAR		ABSOLUTE							False	אַהֲבָה	אַהֲבָה

תראה	תִּרְאֶה	ראי	ראי	VERB		FEMININE	SINGULAR	PERSON_3		FUTURE	BINYAN_PAAL					False	תִּרְאֶה	תִּרְאֶה
רק	רַק	רַק	רק	ADVERB												False	רַק	רַק
את	אֶת	אֶת	את	AT_PREP												False	אֶת	אֶת
ה|טוב	הַ|טּוֹב	טוֹב	טוב	ADJECTIVE	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַטּוֹב	טוֹב
ו|לא	וְ|לֹא	לֹא	לא	NEGATION	CONJUNCTION											False	וְלֹא	לֹא
את	אֶת	אֶת	את	AT_PREP												False	אֶת	אֶת
ה|רע	הָ|רַע	רַע	רע	ADJECTIVE	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הָרַע	רַע

ו|אם	וְ|אִם	אִם	אם	CONJUNCTION	CONJUNCTION											False	וְאִם	אִם
תראה	תִּרְאֶה	ראי	ראי	VERB		FEMININE	SINGULAR	PERSON_3		FUTURE	BINYAN_PAAL					False	תִּרְאֶה	תִּרְאֶה
קצת	קְצָת	קְצָת	קצת	ADVERB												False	קְצָת	קְצָת
רע	רַע	רַע	רע	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	רַע	רַע
ינצח	יְנַצֵּחַ	נצח	נצח	VERB		MASCULINE	SINGULAR	PERSON_3		FUTURE	BINYAN_PIEL					False	יְנַצֵּחַ	יְנַצֵּחַ
ה|טוב	הַ|טּוֹב	טוֹב	טוב	ADJECTIVE	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַטּוֹב	טוֹב

אולי	אוּלַי	אוּלַי	אולי	ADVERB												False	אוּלַי	אוּלַי
תראה	תִּרְאֶה	ראי	ראי	VERB		FEMININE	SINGULAR	PERSON_3		FUTURE	BINYAN_PAAL					False	תִּרְאֶה	תִּרְאֶה
עולם	עוֹלָם	עוֹלָם	עולם	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	עוֹלָם	עוֹלָם
...	...			PUNCTUATION												False	...	...
אולי	אוּלַי	אוּלַי	אולי	ADVERB												False	אוּלַי	אוּלַי
זה	זֶה	זֶה	זה	PRONOUN		MASCULINE	SINGULAR	PERSON_3								False	זֶה	זֶה
קרוב	קָרוֹב	קָרוֹב	קרוב	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	קָרוֹב	קָרוֹב

זה	זֶה	זֶה	זה	PRONOUN		MASCULINE	SINGULAR	PERSON_3								False	זֶה	זֶה
ישנה	יְשַׁנֶּה	שׁני	שׁני	VERB		MASCULINE	SINGULAR	PERSON_3		FUTURE	BINYAN_PIEL					False	יְשַׁנֶּה	יְשַׁנֶּה
אותך	אוֹתְךָ	אֶת	את	AT_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	אוֹתְךָ	אוֹתְךָ
בפנים	בִּפְנִים	פְּנִים	פנים	ADVERB												False	בִּפְנִים	בִּפְנִים

זה	זֶה	זֶה	זה	PRONOUN		MASCULINE	SINGULAR	PERSON_3								False	זֶה	זֶה
כמו	כְּמוֹ	כְּמוֹ	כמו	PREPOSITION												False	כְּמוֹ	כְּמוֹ
מכה	מַכָּה	נכי	נכי	VERB		FEMININE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_HIFIL					False	מַכָּה	מַכָּה
על	עַל	עַל	על	PREPOSITION												False	עַל	עַל
ה|פנים	הַ|פָּנִים	פָּנִים	פנים	NOUN	DEFINITEARTICLE	MASCULINEFEMININE	PLURAL		ABSOLUTE							False	הַפָּנִים	פָּנִים

זה	זֶה	זֶה	זה	PRONOUN		MASCULINE	SINGULAR	PERSON_3								False	זֶה	זֶה
יחזק	יְחַזֵּק	חזק	חזק	VERB		MASCULINE	SINGULAR	PERSON_3		FUTURE	BINYAN_PIEL					False	יְחַזֵּק	יְחַזֵּק
אותך	אוֹתָךְ	אֶת	את	AT_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_FEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	אוֹתָךְ	אוֹתָךְ
ל|נצח	לְ|נֶצַח	נֵצַח	נצח	NOUN	PREPOSITION	MASCULINE	SINGULAR		CONSTRUCT							False	לְנֶצַח	נֶצַח
נצחים	נְצָחִים	נֵצַח	נצח	NOUN		MASCULINE	PLURAL		ABSOLUTE							False	נְצָחִים	נְצָחִים

אולי	אוּלַי	אוּלַי	אולי	ADVERB												False	אוּלַי	אוּלַי
תראה	תִּרְאֶה	ראי	ראי	VERB		FEMININE	SINGULAR	PERSON_3		FUTURE	BINYAN_PAAL					False	תִּרְאֶה	תִּרְאֶה
איך	אֵיךְ	אֵיךְ	איך	INTERROGATIVE												False	אֵיךְ	אֵיךְ
ב|עתיד	בֶּ|עָתִיד	עָתִיד	עתיד	NOUN	DEFINITEARTICLE+PREPOSITION	MASCULINE	SINGULAR		ABSOLUTE							False	בֶּעָתִיד	עָתִיד

כל	כׇּל	כֹּל	כול	QUANTIFIER					CONSTRUCT							False	כׇּל	כׇּל
ה|גבולות	הַ|גְּבוּלוֹת	גְּבוּל	גבול	NOUN	DEFINITEARTICLE	MASCULINE	PLURAL		ABSOLUTE							False	הַגְּבוּלוֹת	גְּבוּלוֹת
נעלמים	נֶעֱלָמִים	עלם	עלם	VERB		MASCULINE	PLURAL	PERSON_ANY		PRESENT	BINYAN_NIFAL					False	נֶעֱלָמִים	נֶעֱלָמִים

ה|זמן	הַ|זְּמַן	זְמַן	זמן	NOUN	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַזְּמַן	זְמַן
צוחק	צוֹחֵק	צחק	צחק	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	צוֹחֵק	צוֹחֵק
על	עַל	עַל	על	PREPOSITION												False	עַל	עַל
תוכניות	תׇּכְנִיּוֹת	תׇּכְנִיָּה	תוכנייה	NOUN		FEMININE	PLURAL		ABSOLUTE							False	תׇּכְנִיּוֹת	תׇּכְנִיּוֹת
של	שֶׁל	שֶׁל	של	SHEL_PREP												False	שֶׁל	שֶׁל
אחרים	אֲחֵרִים	אַחֵר	אחר	ADJECTIVE		MASCULINE	PLURAL		ABSOLUTE							False	אֲחֵרִים	אֲחֵרִים

אולי	אוּלַי	אוּלַי	אולי	ADVERB												False	אוּלַי	אוּלַי
תמצא	תִּמְצָא	מצא	מצא	VERB		MASCULINE	SINGULAR	PERSON_2		FUTURE	BINYAN_PAAL					False	תִּמְצָא	תִּמְצָא
כיוון	כִּוּוּן	כִּוּוּן	כיוון	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	כִּוּוּן	כִּוּוּן
חדש	חָדָשׁ	חָדָשׁ	חדש	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	חָדָשׁ	חָדָשׁ
ו|לא	וְ|לֹא	לֹא	לא	NEGATION	CONJUNCTION											False	וְלֹא	לֹא
מוכר	מֻכָּר	מֻכָּר	מוכר	ADJECTIVE		MASCULINE	SINGULAR		ABSOLUTE							False	מֻכָּר	מֻכָּר

אולי	אוּלַי	אוּלַי	אולי	ADVERB												False	אוּלַי	אוּלַי
תמצא	תִּמְצָא	מצא	מצא	VERB		MASCULINE	SINGULAR	PERSON_2		FUTURE	BINYAN_PAAL					False	תִּמְצָא	תִּמְצָא
אחת	אַחַת	אֶחָד	אחד	NUMERAL		FEMININE	SINGULAR		ABSOLUTECONSTRUCT							False	אַחַת	אַחַת
לאהוב	לֶאֱהֹב	אהב	אהב	VERB						TOINFINITIVE	BINYAN_PAAL					False	לֶאֱהֹב	לֶאֱהֹב
